,expavg,sqrtMSE,MSE,Bj,v,av,ai,Wdis,avg,variance,FD,sqrtMSE_FD
2.9825,1.6232665391081356,0.04494313119576199,0.0020375833252730103,0.003912682176304957,0.0020153613162898275,0.9863798086952533,0.7382441991454909,0.01731276270248689,1.639822727272727,0.021343726191735597,1.6225099645702403,0.04461691391634185
2.983,1.6195352573642312,0.04496327314147317,0.0020411062916378068,0.0032946212780545405,0.0020261616413517845,0.9863400232619357,0.7845813490840436,0.01740503224397539,1.6361509090909088,0.021447608940495928,1.6187458768469334,0.04471082849127993
2.9835,1.6155690912904517,0.04482904041815629,0.0020293096283478225,0.003494011775004424,0.002012119661498132,0.9863566126172236,0.767852311472129,0.017285344666023612,1.6320718181818181,0.021299323339669437,1.6147864735157944,0.044549753333137
2.984,1.611180534174325,0.044886084535186666,0.0020329868609986635,0.003878205438964203,0.0020111745785872928,0.9863783833733024,0.7403263413058108,0.01727712124539197,1.627692727272727,0.021297130839669394,1.6104156060273351,0.04456202715276984
2.9845,1.6070267162846505,0.04489306893286117,0.002033318825777118,0.004092401500671247,0.002008653337986264,0.9863874741789038,0.726325814455395,0.017255564210918093,1.6235286363636368,0.021272858510743807,1.6062730721527185,0.0445399150586908
2.985,1.602451964117547,0.04497072210475041,0.0020400683830973086,0.005037343119780405,0.002000614552865804,0.9864135412727242,0.6738925981654789,0.01718681364147584,1.6189068181818183,0.02119448667603309,1.6017200045403424,0.04446617444317319
2.9855,1.5981671591844622,0.04491417854040897,0.002035511731213517,0.005066401268421998,0.0019954889409204194,0.9864141873183102,0.6722883335695362,0.017143155593765783,1.614575909090909,0.021138356755371922,1.5974327534971433,0.04440164502018065
2.986,1.59366798355346,0.04483533027571235,0.0020288350521811657,0.004846173555082583,0.001992559345161676,0.9864096822355146,0.6831102824000517,0.017118262775917187,1.6100500000000004,0.021104377990082666,1.5929317372240832,0.04435922655551214
2.9865,1.589035703504756,0.044798151029988624,0.0020263822933116616,0.005226839637165056,0.001983336128124563,0.9864173262964493,0.6642267024647661,0.01703962162326065,1.6053290909090911,0.02100590120578511,1.5882894692858307,0.04424981855148148
2.987,1.5844728470937086,0.04468093741639277,0.00201664165965478,0.005039524141782778,0.0019768743832475114,0.9864139449040603,0.6728924305070227,0.01698463630927278,1.6007040909090908,0.020933502119008296,1.583719454599818,0.04416284912210672
